co,quantifier,how.many,quantifier: how many
coq,,,
coa,predicate,bridge,___ is a bridge.
coaq,,,
coi,,,
coe,predicate,joined,___ is joined/connected to ___.
coetūa,predicate,join,___ joins ___ with ___.
ce,predicate,node,___ is a node/station/port.
ceq,,,
cea,predicate,sack,___ is a sack/bag/pocket.
ceaq,,,
ceo,predicate,,___ begins/starts to occur; ___ begins/starts to satisfy property ___.
ceoq,,,
cha,predicate,manner,___ takes place in way/form ___.
chaq,predicate,day,___ is a day.
chaqtū,predicate,daily,___ happens every day; ___ is daily.
chai,predicate,tea,___ is tea.
chao,predicate,vehicle,___ is a vehicle.
chaotīeq,predicate,road,___ is a road/street.
chu,predicate,middle,___ is a middle; ___ is the middle of ___.
chufāq,predicate,-ing,___ is ongoing; ___ is in the middle of taking place; ___ is ___ing.
chuq,predicate,eat,___ eats; ___ eats ___.
chuqgūao,predicate,fork,___ is a fork.
chuqkūai,predicate,hungry,___ is hungry.
chuqtīao,predicate,edible,___ is edible.
chua,predicate,name,___ is a name of ___.
chuadōa,predicate,name,___ names/calls ___ name ___.
chuaq,,,
chui,predicate,early,___ is early.
chuihāq,predicate,breakfast,___ is breakfast.
chuirīao,predicate,dawn,___ is dawn.
chuo,predicate,tool,___ is a tool/utensil/resource/instrument for satisfying property ___.
chuoq,,,
chue,predicate,train,___ is a train/caravan/succession.
chuecē,predicate,train.station,___ is a train station.
chueq,,,
chuai,predicate,frozen,___ is frozen.
chuaikēa,predicate,freezer,___ is a freezer.
chuaināo,predicate,ice,___ is ice (frozen water).
chuairūq,predicate,hail,___ is hail.
chuairūqshūa,predicate,hail,It hails; ___ hails; ___ hails onto ___.
Chủairūqshūa.,phrase,,"""It's hailing."""
Shủa chúairūq.,phrase,,"""Hail is falling."""
chuao,predicate,window,___ is a window.
chuaotīe,predicate,window cover,___ is a window cover.
chi,predicate,believe,___ believe ___ to be the case / to be true.
chijīo,predicate,temple,___ is a temple/church/sanctuary/synagogue/shrine.
chiq,,,
chia,predicate,need,___ needs to satisfy property ___ to satisfy property ___.
chiaq,predicate,aware,___ is conscious; ___ is aware of ___.
chiu,predicate,address,___ is the address/coordinates of ___.
chio,predicate,repeat,___ repeats ___ times.
chioq,,,
chie,predicate,learn,___ learns ___.
chiejīo,predicate,school,___ is a school.
chieq,,,
chiai,predicate,wrong,___ is wrong/incorrect.
chiaitāo,predicate,err,___ errs; ___ makes mistake ___.
chiao,,,
cho,predicate,like,___ likes ___.
chosōq,predicate,favourite,___ is the favourite of ___ among ___.
choq,predicate,use,___ uses ___ for ___.
choqgī,predicate,useful,___ is useful for doing ___.
choqhūi,predicate,useless,___ is useless/inconvenient for doing ___.
choqkīu,predicate,usable,___ is usable (possible to use)
choqtīao,predicate,usable,___ is usable (fit for use).
choa,predicate,utter,___ utters ___.
choadēoq,predicate,talk,___ talks to ___.
choalāq,predicate,voice,___ is a voice.
choaq,predicate,guest,___ is a guest; ___ is a guest of ___.
choaqjīo,predicate,hotel,___ is a hotel/guesthouse.
choi,predicate,sharp,___ is sharp.
choibeq,predicate,thorn,___ is a thorn.
choihua,predicate,thorn,___ is a thorn.
choai,predicate,cost,___ costs ___.
choe,predicate,until,___ takes place until ___.
che,predicate,-er,___ is someone whose occupation it is to satisfy property ___.
che chỉetūa,predicate,teacher,___ is a teacher.
che giaqtāo,predicate,musician,___ is a musician.
cheq,,,
chea,predicate,hat,___ is a hat.
chealīao,predicate,mushroom,___ is a mushroom.
cheaq,predicate,trusty,___ is trusty/trusted to ___.
chei,predicate,digit,___ is a digit/finger/toe.
cheo,predicate,reciprocally,___ are in reciprocal relationship ___ with each other.
cheoq,predicate,bottle,___ is a bottle.
da,illocution,,assertive illocution
daq,predicate,,___ is time.
daqfāi,predicate,frequent,___ occurs frequently/often.
dãqfāi,adverb,,"""often"""
daqfāo,predicate,,___ is the end of ___; ___ is the point at which ___ ceases to be.
daqfīa,predicate,,___ is previous to ___ in time.
daqkēa,predicate,clock,___ is a clock.
daqlēi,predicate,seldom,___ is seldom/infrequent.
dãqlēi,adverb,,"""seldom"""
daqmīq,predicate,eternal,___ is eternal/forever.
daqmōa,predicate,moment,___ is a moment.
daqsīao,predicate,,___ is the beginning of ___; is the point at which ___ begins to be.
daqsīe,predicate,,___ is following to ___ in time.
dai,predicate,possible,___ is possible; ___ has the potential to satisfy property ___.
dãi,adverb,maybe,"""maybe"", ""possibly"""
daichī,predicate,hope,___ has hope that ___ is the case; ___ believes ___ can happen.
daisīo,predicate,idea,___ is an idea.
dao,predicate,information,___ is information/data.
daosī,predicate,interested,___ is interested in ___; ___ is curious about ___.
du,predicate,seem,___ seems to be the case; ___ seems to satisfy property ___.
duq,predicate,habitually,___ habitually satisfies property ___.
dua,predicate,know,___ knows ___ to be the case / to be true.
duafūi,predicate,obvious,___ is obvious; ___ is obvious to ___.
dũafūi,adverb,obviously,"""obviously"", ""clearly"", ""of course"""
duagī,predicate,wise,___ is wise.
duahūi,predicate,foolish,___ is foolish.
duasūe,predicate,ask,___ wants to know from ___ fact ___; ___ asks ___ fact ___.
duashāo,predicate,wonder,___ wonders about ___.
duashō,predicate,find.out,___ discovers / finds out ___.
duaq,,,
dui,predicate,too.much,___ is too much ___; ___ satisfies property ___ too much to satisfy property ___.
duo,predicate,move,___ moves to ___ from ___.
duofūaq,predicate,movie,___ is a movie.
duoi,predicate,continue,___ lasts/continues; ___ lasts for time ___.
duoq,,,
due,predicate,correct,___ is correct.
dueq,predicate,field,___ is a field.
duai,predicate,must,___ must satisfy property ___.
duao,predicate,sweet,___ is sweet/sugary.
duaohēa,predicate,candy,___ is a piece of candy.
di,predicate,allowed.to,___ is allowed to satisfy property ___.
diq,,,
dia,predicate,decrease,___ decreases in how much it satisfies property ___.
diai,predicate,seven,___ are seven in number.
diaq,predicate,regular,___ occurs at regular intervals; ___ satisfies property ___ at regular intervals.
diaqkūe,predicate,journal,___ is a journal/periodical/newspaper.
diu,predicate,science,___ is the branch of knowledge that studies ___; ___ is a science.
dio,predicate,daytime,___ is a daytime.
diochū,predicate,noon,___ is a noon.
diochūhāq,predicate,lunch,___ is a lunch.
diofāo,predicate,evening,___ is an evening.
diosiao,predicate,morning,___ is a morning.
dioq,,,
die,predicate,suggest,___ suggests ___.
dieq,,,
diai,,,
diao,predicate,drop,___ is a drop.
do,predicate,,variable X
doq,predicate,short,___ is short.
doa,predicate,give,___ gives ___ to ___.
doaq,predicate,settlement,___ is a settlement/town/village/city.
doaqpāq,predicate,district,___ is a district.
doi,,,
doe,predicate,function,___ functions/performs property ___.
de,predicate,beautiful,___ is beautiful.
deq,predicate,able,___ is able / has the ability to satisfy property ___.
dea,predicate,hit,___ hits/punches/kicks ___.
deaq,predicate,floor,___ is a floor.
deaqkōi,predicate,crawl,___ crawls.
deo,predicate,child,___ is a child.
deoq,predicate,communicate,___ communicates with ___.
fa,predicate,go,___ goes to ___ from ___.
farīkā,predicate,Africa,___ is Africa.
faq,predicate,happen,___ happens / takes place.
fai,predicate,frequent,___ is frequent/common in property ___.
fao,predicate,end,___ is an end/ending; ___ is an end/ending of ___.
fu,predicate,offspring,___ is a biological offspring of ___.
fuq,predicate,clothing,___ is an article of clothing / garment / dress.
fua,predicate,furniture,___ is an item of furniture.
fuaq,predicate,picture,___ is an image / a picture.
fuaqkāi,predicate,draw,___ draws image ___ on ___.
fuaqkēa,predicate,camera,___ is a photo-camera.
fui,predicate,easy,Satisfying property ___ is easy for ___.
fuo,predicate,touch,___ touches ___ (non-somatic); ___ is in contact with ___.
fuoq,,,
fue,predicate,hundred,___ are a hundred in number.
fueq,,,
fuai,predicate,committee,___ is a committee.
fuao,,,
fi,,,
fiq,,,
fia,predicate,previous,___ is previous to ___ in sequence ___; ___ precedes ___ in sequence ___.
fiaq,,,
fiu,predicate,shallow,___ is shallow.
fio,,,
fioq,,,
fie,predicate,ugly,___ is ugly.
fieq,predicate,create,___ creates/invents ___.
fiai,,,
fiao,,,
fo,,,
fotō,predicate,photo,___ is a photograph.
foq,predicate,phone,___ is a telephone.
foqdēoq,predicate,talk.on.the.phone,___ talks on the phone with ___.
foa,predicate,feel,___ feels ___ (good or bad); ___ is ___ (ill or well).
foaq,predicate,comfortable,___ is comfortable; ___ feels comfort; ___ feels comfort in satisfying property ___.
foaqfūi,predicate,convenient,___ is convenient; ___ is comfortably easy.
foi,predicate,boring,___ is boring/dull.
fe,predicate,five,___ are five in number.
feq,,,
fea,predicate,endure,___ endures ___.
feaq,,,
fei,predicate,angry,___ is angry/mad.
feo,predicate,direction,___ is a direction.
feoq,,,
ga,end-conversion,,terminates conversion via predicalizer.
gaq,predicate,accompany,___ accompanies / is with ___ in property ___.
gai,predicate,sense,___ senses/observes ___.
gaipūa,predicate,enjoy,___ enjoys sensing/observing ___.
gao,predicate,above,___ is above ___.
gaodūo,predicate,move.upwards,___ moves upwards.
gaokōi,predicate,climb,___ climbs.
gaopāq,predicate,top,___ is the top of ___.
gu,predicate,two,___<sup>coll.</sup> are two in number.
gulīaq,predicate,pair,___ is a pair/couple.
guchīo,predicate,twice,___ happens twice / two times.
gupāq,predicate,half,___ is a half.
gusīoq,predicate,bicycle,___ is a bicycle/bike.
gushōai,predicate,fly,___ is a fly.
guq,predicate,below,___ is below/underneath ___.
guqdūo,predicate,move.downwards,___ moves downwards.
guqpāq,predicate,bottom,___ is the bottom of ___.
gua,predicate,country,___ is a country.
guaq,predicate,land,___ is land/terrain.
guaqnāo,predicate,lake,___ is a lake.
gui,predicate,grain,___ is grain/cereal.
guipūo,predicate,flour,___ is flour.
guo,predicate,instance,___ is a repetition/instance of ___.
guosa,predicate,sometimes,___ happens sometimes.
guosia,predicate,never,___ happens never.
guoq,predicate,anus,___ is an anus.
gue,predicate,curved,___ is curved/bent.
gueq,,,
guai,predicate,work,___ works in satisfying property ___.
guairīaq,predicate,workplace,___ is a work place / office.
guao,predicate,furcation,___ is a furcation/fork/intersection/junction.
gi,predicate,good,___ is good.
Gỉ chảq ba.,phrase,,"""Good day!"""
Gỉ dỉochū ba.,phrase,,"""Good morning!"""
Gỉ nủaq ba.,phrase,,"""Good night!"""
gicīa,predicate,free.of,___ is free of property ___; ___ not having property ___ is good.
gidāitūe,predicate,opportunity,___ is an opportunity.
gigā,predicate,giga,"___ are 10<sup>9</sup> (1,000,000,000) in number; ___ are a billion."
ginūe,predicate,promise,"___ promises to ___ to satisfy property ___, which is good for the latter."
ginēq,predicate,fortunate,___ is fortunate for ___.
gitā,predicate,guitar,___ is a guitar.
giq,predicate,opposite,___ satisfies with reversed polarity property ___.
giq gỉ,predicate,ungood,___ is ungood.
gia,predicate,ribbon,___ is a ribbon/tape/strip/stripe.
giaq,predicate,music,___ is music.
giaqchūo,predicate,musical.instrument,___ is a musical instrument.
giu,predicate,line,___ is a line.
gio,predicate,light,___ is light.
giocīa,predicate,dark,___ is dark (without light).
giofūaq,predicate,photograph,___ is a photograph.
giohīaq,predicate,dark,___ is dark (poorly illuminated).
giokēa,predicate,lamp,___ is a lamp.
giomīa,predicate,light,___ is bright.
gioq,,,
gie,predicate,arm,___ is an arm.
giebēa,predicate,elbow,___ is an elbow.
giejēoq,predicate,armpit,___ is an armpit.
gieshīo,predicate,shoulder,___ is a shoulder.
gieq,,,
giai,,,
giao,predicate,dry,___ is dry.
go,linking word,2nd.place,"linking word, indicates that the following argument fills the second argument place of the predicate."
goq,,,
goa,predicate,space,___ is space/room.
goafāi,predicate,widespread,___ is widespread/common.
goajāo,predicate,far,___ is spatially far away from ___.
goaq,predicate,smooth,___ is smooth/even.
goi,predicate,treat,___ treats/doctors ___.
ge,predicate,stimulus,___ is a stimulus.
geq,predicate,meet,___ meets ___.
geqkūai,predicate,miss,___ misses ___; ___ hungers to meet ___ (again).
geqsīa,predicate,alone,___ is alone.
gea,predicate,high,___ is high.
geajēaqkēa,predicate,lift,___ is a lift.
geanūa,predicate,lift,___ lifts up ___.
geaq,predicate,dirty,___ is dirty/unclean/contaminated.
gei,predicate,wear,___ wears ___.
geo,predicate,old,___ is old.
geonē,predicate,age,___ is the age of ___.
geoq,,,
ha,interjection,,laughter
harānē,predicate,spider,___ is a spider.
hasīa,predicate,Asia,___ is Asia.
haq,predicate,food,___ is food.
haqbāi,predicate,prepare.food,___ prepares food / cooks.
haqbāisē,predicate,meal,___ is a meal; ___ is prepared food.
haqdōa,predicate,feed,___ feeds ___ to ___.
haqhūa,predicate,stomach,___ is a stomach.
haqrīai,predicate,plate,___ is a plate/dish.
hai,predicate,already,___ is already the case; ___ already satisfies property ___.
hao,predicate,stuff,the salient predicate
hu,vocative,,vocative
Husōnā,predicate,American,___ is US-American/pertains to the USA.
Husōnāgūa,predicate,USA,___ are the USA.
hushō,predicate,,___ becomes quiet/silent; ___ hushes.
huq,,,
hua,predicate,body.part,___ is a body part.
huaq,predicate,,___ is more than ___ in property ___.
huaq gỉ,predicate,,___ is better than ___.
huaq hủi,predicate,,___ is worse than ___.
huaq pủi,predicate,,___ are more numerous than ___.
huaqchō,predicate,prefer,___ prefers ___ over ___.
hui,predicate,bad,___ is bad.
huicīa,predicate,lack,___ is lacking in that does not satisfy property ___; ___ lacking property ___ is bad.
huilīe,predicate,suffer,___ suffers from experiencing property ___.
huinūe,predicate,threaten,___ threatens ___ with satisfying property ___.
huinēq,predicate,unfortunate,___ is unfortunate for ___.
huo,predicate,auditory,___ is auditory; ___ pertains to the sense of hearing/audition.
huogāi,predicate,hear,___ hears ___.
huogī,predicate,sound.good,___ sounds good; ___ sounds good to ___.
huohūa,predicate,ear,___ is an ear.
huokīu,predicate,audible,___ is audible.
huosī,predicate,listen,___ listens to ___.
huoi,predicate,tail,___ is a tail.
huoq,,,
hue,,,
hueq,,,
huai,predicate,scoop,___ scoops ___ out of ___.
huaichūo,predicate,spoon,___ is a spoon.
huao,predicate,loose,___ is loose.
hi,quantifier,which,which?
hiq,,,
hia,,,
hiaq,predicate,poor,___ is poor in property ___.
hiu,predicate,river,___ is a river.
hio,predicate,greet,___ greets ___.
Hỉo ka.,phrase,,"""hello"", ""bye"""
hiotā,predicate,yotta,"___ are 10<sup>24</sup> (1,000,000,000,000,000,000,000,000) in number; ___ are a septillion."
hioq,predicate,proud,___ is proud / feels pride.
hie,predicate,carry,___ carries/bears/hauls ___.
hieq,,,
hiai,predicate,laugh,___ laughs.
hiaisē,predicate,laughter,___ is laughter.
hiao,predicate,harm,___ harms/injures ___.
hiaodāi,predicate,dangerous,___ is dangerous.
hiaorīeq,predicate,escape,___ escapes from ___.
ho,predicate,they,___ is him/her/it / are them.
horā,predicate,hour,___ is an hour.
hoq,predicate,it,___ is it (abstract).
hoqbīe,predicate,afterwards,___ is afterwards.
hõqbīe,adverb,afterwards,"afterwards, after that"
hoqkūi,predicate,therefore,___ is therefore the case.
hõqkūi,adverb,therefore,"therefore, because of that"
hoa,predicate,it,relative pronoun whose antecedent is the head of the containing relative clause
hoaq,predicate,burn,___ burns.
hoaqkēa,predicate,lighter,___ is a lighter.
hoi,predicate,aforementioned,___ are the aforementioned things; ___ is/are the aforementioned things that satisfy property ___.
hoe,predicate,sun,___ is a sun.
he,,,
hekūo,predicate,horse,___ is a horse.
helū,predicate,elephant,___ is an elephant.
Heorōpā,predicate,Europe,___ is Europe.
hesā,predicate,exa,"___ are 10<sup>18</sup> (1,000,000,000,000,000,000) in number; ___ are a quintillion."
heq,predicate,contain,___ contains ___.
heqchūo,predicate,container,___ is a container.
heqmūo,predicate,full,___ is full; ___ is filled with ___.
heqshēa,predicate,empty,___ is empty.
hea,predicate,piece,___ is a piece/chunk; ___ is a piece/chunk of substance ___.
heaq,predicate,carry,___ carries/holds ___.
hei,predicate,ten,___ are ten in number.
heigā,predicate,oak,___ is an oak.
heu,predicate,fruit,___ is a fruit.
heo,predicate,different,___ is different from ___; ___ differs from ___ in property ___.
heoq,predicate,waist,___ is a waist.
heoqgīa,predicate,belt,___ is a belt.
ja,quantifier,lambda,quantifier: lambda
jakē,predicate,jacket,___ is a jacket.
jaq,predicate,very,___ is very much the case; ___ is very/extremely ___.
jaq bủ,predicate,not.at.all,___ is not at all the case; ___ does not satisfy property ___ at all; ___ very much does not satisfy property ___.
jaqbīaq,predicate,enough.to,___ is sufficiently the case for ___ to be the case; ___ is so much so that ___ is the case.
jaqgālā,predicate,jungle,___ is a jungle.
jaqhēo,predicate,,___ is not the same amount as ___ in property ___.
jaqjēq,predicate,,___ is as much as ___ in property ___.
jaqnūi,predicate,tiny,___ is tiny.
jaqsāo,predicate,huge,___ is huge.
jai,predicate,,___ is happy/glad/joyful.
jao,predicate,,___ is far away from ___ in property ___.
jaokūq,predicate,telephone,___ is a telephone / walkie talkie.
ju,free modifier,,begin incidental clause
juq,predicate,,___ gets/acquires property ___.
juqgī,predicate,,___ benefits ___.
jua,predicate,weird,___ is weird/strange/bizarre.
juaq,predicate,,Even ___ is the case; even ___ satisfies property ___.
jui,predicate,,___ is near ___ in property ___.
juo,,,
juoq,predicate,,___ should satisfy property ___.
jue,predicate,month,___ is a month.
juedīaq,predicate,monthly,___ occurs monthly.
jueq,,,
juai,predicate,serious,___ is serious/earnest.
juao,predicate,rule,___ is a rule/law.
juaochīai,predicate,illegal,___ is illegal; ___ breaks rule ___; ___ is against law ___.
juaodūe,predicate,legal,___ is legal; ___ is according to rule/law ___.
ji,predicate,me,___ is me / the speaker.
jiq,predicate,actual,___ exists / is real/actual.
jiqdūa,predicate,,___ knows that ___ exists.
jia,predicate,will.be,___ will happen.
jiachāq,predicate,tomorrow,___ is tomorrow; ___ is the day after today.
jiajāo,predicate,a.long.time.from.now,___ will happen a long time from now.
jiajūi,predicate,a.short.time.from.now,___ will happen in a short time from now.
jiashāo,predicate,hope,___ hopes that ___ will be the case.
jiaq,predicate,world,___ is a world.
jiaqtū,predicate,universe,___ is the universe.
jiu,predicate,born,___ is born.
jiuchāq,predicate,birthday,___ is a birthday of ___.
jio,predicate,building,___ is a building.
jioq,predicate,calculate,___ calculates ___.
jioqkēa,predicate,computer,___ is a computer.
jie,predicate,deemed,___ is as ___ deems/judges/evaluates things to be.
Jảq dẻ báq rủa jìe hó da.,phrase,,"""Flowers are very beautiful to them."""
jieq,predicate,tip,___ is a tip / pointed end.
jiai,predicate,grasp,___ grasps/holds ___.
jiaikōi,predicate,climb,___ climbs.
jiainūa,predicate,remove,___ takes/removes ___ from ___.
jiao,predicate,god,___ is a god.
jiaojīo,predicate,temple,___ is a temple/church/sanctuary/synagogue/shrine.
jo,predicate,four,___ are four in number.
jolīaq,predicate,quartet,___ is a quartet.
joq,predicate,main,___ is main/chief among ___.
joqdōaq,predicate,capital,___ is a capital city of ___.
joqhūa,predicate,head,___ is a head (body part).
joqshāq,predicate,face,___ is a face.
joa,predicate,week,___ is a week.
joachāq,predicate,weekday,___ is a weekday (day of the week).
joachū,predicate,during.the.weak,___ is during the week (not during a weekend).
joadīaq,predicate,weekly,___ occurs weekly.
joafāo,predicate,weekend,___ is a weekend.
joaq,predicate,leader,___ is a leader of ___.
joi,predicate,along.with,___ is case the case along with ___; ___ happens together with ___.
joai,predicate,seek,___ looks for something which satisfies property ___ among ___.
joe,predicate,skilled,___ is skilled at satisfying property ___.
joetāo,predicate,practice,___ practices skill ___.
je,sentence prefix,new.sentence,begin new sentence
jeq,predicate,same,___ is the same as ___ in property ___.
jeqshūaq,predicate,copy,___ copies ___; ___ produces an object identical to ___.
jeqtū,predicate,identical,___ is identical to ___.
jea,predicate,buy,___ buys ___ from ___.
jeajīo,predicate,mall,___ is a mall.
jearīaq,predicate,market,___ is a market.
jeaq,predicate,increase,___ increases; ___ increases in how much it satisfies property ___.
jeaq gỉ,predicate,improve,___ improves / gets better.
jeaq tỉjūi,predicate,approach,___ increases in its proximity to ___.
jeaqcāo,predicate,spring,___ is spring (season).
jeaqdōa,predicate,add,___ adds ___ to ___.
jei,predicatizer,identical,turns following phrase X into predicate: ___ is X.
jeo,predicate,TRUE,___ is true / is the case; ___ satisfies property ___.
jeohūaq,predicate,rather,___ is rather the case than ___; ___ is more true than ___.
jeojūi,predicate,almost,___ is almost the case; ___ almost satisfies property ___.
jeonūe,predicate,promise,___ promises to ___ that ___ is the case.
jeoq,,,
ka,illocution,hereby,performative illocution
kafē,predicate,coffee,___ is coffee.
kahā,predicate,cough,___ coughs.
kaq,predicate,visual,___ is visual/optical; ___ pertains to the sense of sight/vision.
kaqchūo,predicate,optical.tool,___ is an optical tool.
kaqgāi,predicate,see,___ sees ___.
kaqgī,predicate,look.good,___ looks good; ___ looks good to ___.
kaqhūa,predicate,eye,___ is an eye.
kaqhūatīe,predicate,eyelid,___ is an eyelid.
kaqkīu,predicate,visible,___ is visible.
kaqnūo,predicate,dream,___ dreams ___.
kaqsī,predicate,look.at,___ looks at ___.
kaqshīa,predicate,glasses,___ are glasses.
kai,predicate,write,___ writes ___ on ___.
kaifūa,predicate,desk,___ is a desk.
kaikēa,predicate,type.writer,___ is a type writer.
kaisē,predicate,text,___ is text/writing.
kao,predicate,record,___ is a record of information/data ___.
ku,prefix,,marks focus
kuq,predicate,,___ says ___ to ___.
kuqsē,predicate,text,___ is text (spoken or written).
kuqtōai,predicate,sentence,___ is a sentence.
kua,predicate,,___ is a room.
kuabūe,predicate,appartment,___ is an appartment/flat.
kuaq,predicate,,___ expresses property ___.
kuaq kỉe,predicate,,___ thanks ___.
Kủaq kỉe jí ka.,phrase,,"""Thank you"", ""I hereby express my gratitude"""
kuaq shẻo,predicate,,___ apologizes to ___.
Kủaq shẻo jí ka.,phrase,,"""I apologize"", ""I hereby express that I'm sorry"""
kui,predicate,because,___ is the case because ___.
kùi,preposition,,"""because"""
kuitūe,predicate,reason,___ is a reason why ___ is the case.
kuo,predicate,black,___ is the colour black.
kuoi,predicate,less,___ is less than ___ in property ____.
kuorēo,predicate,black,___ is of black colour.
kuoq,predicate,bone,___ is a bone.
kue,predicate,book,___ is a book.
kuejīo,predicate,library,___ is a library.
kuepāq,predicate,chapter,___ is a chapter.
kueshūo,predicate,library,___ is a library.
kueq,,,
kuai,predicate,urge.for,___ hungers/urges/longs for property ___.
kuao,predicate,cyan,___ is the colour cyan.
kuaochāq,predicate,Friday,___ is a Friday.
kuaorēo,predicate,cyan,___ is of cyan colour.
ki,end-parenthetical,),terminates parenthetical
kiq,predicate,movie,___ is a movie/film.
kiqjīo,predicate,cinema,___ is a cinema / movie theater.
kiqkēa,predicate,camera,___ is a film camera.
kia,predicate,red,___ is the colour red.
kiachāq,predicate,Monday,___ is a Monday.
kiarēo,predicate,red,___ is of red colour.
kiaq,predicate,hair,___ is a hair.
kiu,predicate,-able,___ is ___able.
kio,start-parenthetical,(,start parenthetical
kioq,predicate,ball,___ is a ball/sphere.
kie,predicate,thankful,___ is thankful/grateful to ___ for satisfying property ___.
kiekūq,predicate,thank,___ says thanks to ___.
kieq,predicate,disgusted,___ experiences disgust.
kiai,predicate,look.after,___ looks after ___; ___ takes care of ___.
kiao,predicate,door,___ is a doorway.
kiaotōq,predicate,door,___ is a door.
ko,predicate,,___ is the xth among ___ where x is the cardinality of anything satisfying property ___ sorted by property ___.
ko shỉ,predicate,,___ is the first among ___ sorted by property ___.
ko gủ,predicate,,___ is the second among ___ sorted by property ___.
ko sảq,predicate,,___ is the third among ___ sorted by property ___.
kopī,predicate,copy,___ is a copy of ___.
kopīshūaq,predicate,copy,___ copies ___.
koq,predicate,rough,___ is rough/uneven.
